date,open,high,low,close,volume
2025-06-27,0.35824000,0.37712000,0.35824000,0.37712000,354783.11000000
2025-06-28,0.37709000,0.38322000,0.36337000,0.37807000,511002.36000000
2025-06-29,0.37878000,0.40032000,0.37526000,0.39958000,506433.34000000
2025-06-30,0.40034000,0.40034000,0.36336000,0.38144000,495966.52000000
2025-07-01,0.38016000,0.38236000,0.36009000,0.36113000,451444.29000000
2025-07-02,0.36127000,0.39547000,0.35695000,0.39076000,405847.13000000
2025-07-03,0.39054000,0.39756000,0.38254000,0.38846000,640931.43000000
2025-07-04,0.38731000,0.39306000,0.36584000,0.37330000,664614.26000000
2025-07-05,0.37379000,0.38016000,0.36379000,0.37226000,253053.43000000
2025-07-06,0.37173000,0.38279000,0.36714000,0.37519000,303109.36000000
2025-07-07,0.37521000,0.38054000,0.36637000,0.37408000,353538.03000000
2025-07-08,0.37396000,0.38111000,0.36438000,0.37491000,362236.75000000
2025-07-09,0.37516000,0.39171000,0.37336000,0.39045000,251698.81000000
2025-07-10,0.39024000,0.41956000,0.38579000,0.41834000,414619.52000000
2025-07-11,0.41767000,0.45066000,0.41526000,0.43729000,513038.51000000
2025-07-12,0.43716000,0.45533000,0.41824000,0.42684000,598533.74000000
2025-07-13,0.42726000,0.44835000,0.42375000,0.43642000,360893.33000000
2025-07-14,0.43605000,0.46104000,0.42691000,0.43080000,517893.40000000
2025-07-15,0.43022000,0.45075000,0.41166000,0.44674000,210660.19000000
2025-07-16,0.44600000,0.45929000,0.43820000,0.44919000,532279.69000000
2025-07-17,0.44907000,0.45417000,0.42755000,0.44250000,683006.63000000
2025-07-18,0.44390000,0.46073000,0.43525000,0.44408000,593594.44000000
2025-07-19,0.44343000,0.64000000,0.43062000,0.59884000,11686669.23000000
2025-07-20,0.59968000,0.93000000,0.48750000,0.84042000,35880438.29000000
2025-07-21,0.84087000,1.19773000,0.83188000,1.03216000,55151021.22000000
2025-07-22,1.03152000,1.21420000,0.97564000,1.06906000,31599606.61000000
2025-07-23,1.06688000,1.09485000,0.86274000,0.87397000,13034892.13000000
2025-07-24,0.87342000,1.10882000,0.81079000,0.96287000,15801327.80000000
2025-07-25,0.96188000,1.07000000,0.89988000,1.00779000,15903465.69000000
2025-07-26,1.00411000,1.03000000,0.90764000,0.90967000,5534858.39000000
2025-07-27,0.90950000,0.96820000,0.88082000,0.93899000,4322500.93000000
2025-07-28,0.93817000,0.94913000,0.83448000,0.84147000,3229703.96000000
2025-07-29,0.84100000,0.90600000,0.81018000,0.82845000,2407107.35000000
2025-07-30,0.82824000,0.83999000,0.78014000,0.80150000,1476951.56000000
2025-07-31,0.80295000,0.83510000,0.76330000,0.76357000,1144862.77000000
2025-08-01,0.76300000,0.84077000,0.73558000,0.76324000,2640372.88000000
2025-08-02,0.76284000,0.79891000,0.73615000,0.75296000,1274930.57000000
2025-08-03,0.75555000,0.81404000,0.72932000,0.77301000,1250680.65000000
2025-08-04,0.77305000,0.79097000,0.73310000,0.75220000,1420747.81000000
2025-08-05,0.75151000,0.80061000,0.68565000,0.71256000,2450703.96000000
2025-08-06,0.71155000,0.75568000,0.68773000,0.72363000,937700.58000000
2025-08-07,0.72284000,0.74964000,0.70222000,0.74636000,996579.01000000
2025-08-08,0.74470000,0.75055000,0.71159000,0.73605000,1006279.13000000
2025-08-09,0.73559000,1.03924000,0.73266000,0.89763000,8594656.42000000
2025-08-10,0.89760000,0.95989000,0.83379000,0.87364000,5497466.22000000
2025-08-11,0.87073000,0.88610000,0.78997000,0.79917000,1913596.57000000
2025-08-12,0.80168000,0.86650000,0.79552000,0.83333000,1335634.18000000
2025-08-13,0.83488000,0.85677000,0.81245000,0.82224000,1727507.98000000
2025-08-14,0.82230000,0.84163000,0.73718000,0.75936000,2432519.99000000
2025-08-15,0.76010000,0.79616000,0.74029000,0.75758000,889227.39000000
2025-08-16,0.75709000,0.77752000,0.74711000,0.75732000,806266.59000000
2025-08-17,0.75764000,0.77614000,0.72419000,0.73681000,1096261.13000000
2025-08-18,0.73626000,0.73822000,0.69668000,0.72141000,1314471.20000000
2025-08-19,0.72094000,0.84000000,0.70032000,0.70590000,4197125.84000000
2025-08-20,0.70599000,0.72509000,0.68614000,0.70958000,1578254.31000000
2025-08-21,0.71049000,0.71625000,0.66601000,0.66938000,983219.84000000
2025-08-22,0.67000000,0.73921000,0.65000000,0.73157000,1207170.27000000
2025-08-23,0.73057000,0.73636000,0.68838000,0.69437000,1089441.30000000
2025-08-24,0.69287000,0.70632000,0.65758000,0.68471000,1425208.51000000
2025-08-25,0.68592000,0.86000000,0.64788000,0.74138000,12820375.70000000
2025-08-26,0.74138000,0.79000000,0.70149000,0.73682000,6460158.46000000
2025-08-27,0.73669000,0.80940000,0.73378000,0.76540000,3593174.00000000
2025-08-28,0.76461000,0.76942000,0.71632000,0.73470000,1607810.20000000
2025-08-29,0.73583000,0.75887000,0.70000000,0.72400000,898588.09000000
2025-08-30,0.72450000,0.73880000,0.70013000,0.71038000,962663.19000000
2025-08-31,0.71011000,0.72162000,0.69128000,0.69277000,819070.36000000
2025-09-01,0.69263000,0.71668000,0.67000000,0.68290000,793325.17000000
2025-09-02,0.68341000,0.70351000,0.67268000,0.69529000,519232.30000000
2025-09-03,0.69548000,0.72000000,0.68590000,0.71371000,367105.18000000
2025-09-04,0.71294000,0.71737000,0.68647000,0.69855000,572446.18000000
2025-09-05,0.69631000,0.77141000,0.69481000,0.74629000,2632945.91000000
2025-09-06,0.74418000,0.77485000,0.74129000,0.76636000,729449.52000000
2025-09-07,0.76514000,0.77530000,0.71783000,0.73580000,710028.77000000
2025-09-08,0.73359000,0.75432000,0.73158000,0.74387000,677144.20000000
2025-09-09,0.74347000,0.77612000,0.73030000,0.74851000,397652.44000000
2025-09-10,0.74933000,0.76667000,0.73872000,0.75063000,393173.83000000
2025-09-11,0.74926000,0.76204000,0.68428000,0.73950000,504461.11000000
2025-09-12,0.73967000,0.75222000,0.72027000,0.75079000,555156.81000000
2025-09-13,0.75029000,0.76983000,0.73496000,0.75548000,537243.29000000
2025-09-14,0.75483000,0.76062000,0.72132000,0.73692000,638442.54000000
2025-09-15,0.73662000,0.74876000,0.70026000,0.70837000,571689.03000000
2025-09-16,0.70839000,0.72290000,0.69630000,0.71307000,307658.63000000
2025-09-17,0.71399000,0.72270000,0.68015000,0.72004000,961002.38000000
2025-09-18,0.72074000,0.73141000,0.71020000,0.72760000,418137.10000000
2025-09-19,0.72788000,0.73606000,0.68904000,0.69630000,648721.62000000
2025-09-20,0.69681000,0.71337000,0.69011000,0.70540000,346397.89000000
2025-09-21,0.70562000,0.70637000,0.66500000,0.66849000,699415.89000000
2025-09-22,0.66892000,0.67056000,0.59582000,0.60606000,945899.32000000
2025-09-23,0.60808000,0.60934000,0.57972000,0.59345000,667540.48000000
2025-09-24,0.59313000,0.60662000,0.57166000,0.57812000,1181552.65000000
2025-09-25,0.57813000,0.57998000,0.52705000,0.54371000,1111461.41000000
2025-09-26,0.54286000,0.55934000,0.52269000,0.55808000,938665.21000000
2025-09-27,0.55781000,0.60427000,0.55397000,0.58610000,2403645.32000000
2025-09-28,0.58655000,0.58949000,0.56061000,0.57851000,746155.87000000
2025-09-29,0.57869000,0.58427000,0.55881000,0.56338000,586739.52000000
2025-09-30,0.56331000,0.56352000,0.54297000,0.55256000,554984.64000000
2025-10-01,0.55275000,0.58954000,0.54645000,0.58156000,510440.55000000
2025-10-02,0.58075000,0.60670000,0.57850000,0.59511000,781266.63000000
2025-10-03,0.59495000,0.60720000,0.58087000,0.59449000,393549.46000000
2025-10-04,0.59381000,0.59481000,0.55746000,0.57259000,371143.02000000
2025-10-05,0.57344000,0.58751000,0.54819000,0.55186000,635018.22000000
2025-10-06,0.55215000,0.58041000,0.54777000,0.57430000,510642.05000000
2025-10-07,0.57378000,0.58163000,0.52459000,0.53072000,571178.55000000
2025-10-08,0.53208000,0.55158000,0.52315000,0.54599000,448763.31000000
2025-10-09,0.54687000,0.55540000,0.51818000,0.53050000,914557.88000000
2025-10-10,0.52858000,0.54060000,0.31271000,0.43769000,2255774.83000000
2025-10-11,0.43778000,0.44233000,0.36700000,0.40979000,2023522.34000000
2025-10-12,0.41014000,0.45462000,0.39883000,0.44579000,710567.72000000
2025-10-13,0.44435000,0.47989000,0.43639000,0.47420000,1495632.17000000
2025-10-14,0.47400000,0.47539000,0.41714000,0.45759000,767677.30000000
2025-10-15,0.45732000,0.47303000,0.42322000,0.43517000,663011.44000000
2025-10-16,0.43633000,0.44580000,0.40514000,0.41394000,940798.24000000
2025-10-17,0.41408000,0.42017000,0.38000000,0.39925000,852406.21000000
2025-10-18,0.39953000,0.41213000,0.39708000,0.40593000,158782.34000000
2025-10-19,0.40525000,0.42221000,0.39836000,0.41382000,434815.42000000
2025-10-20,0.41276000,0.43727000,0.40790000,0.42305000,495812.21000000
2025-10-21,0.42191000,0.45153000,0.40951000,0.41785000,437231.61000000
2025-10-22,0.41851000,0.43440000,0.39417000,0.40870000,1099662.50000000
2025-10-23,0.41095000,0.42715000,0.40236000,0.40995000,879409.82000000
2025-10-24,0.40926000,0.41961000,0.39321000,0.40574000,723972.37000000
2025-10-25,0.40650000,0.41587000,0.40449000,0.41164000,302562.73000000
2025-10-26,0.41078000,0.61999000,0.40874000,0.58493000,7674524.25000000
2025-10-27,0.58355000,0.88226000,0.57359000,0.72561000,30690295.57000000
2025-10-28,0.72770000,0.73868000,0.57647000,0.60214000,13827363.87000000
2025-10-29,0.60242000,0.60990000,0.53657000,0.54077000,4438428.90000000
2025-10-30,0.54094000,0.55514000,0.50428000,0.51408000,2421282.43000000
2025-10-31,0.51451000,0.53900000,0.49995000,0.51608000,1856089.10000000
2025-11-01,0.51769000,0.57970000,0.51166000,0.51563000,2980443.61000000
2025-11-02,0.51597000,0.51664000,0.48452000,0.49953000,1300797.93000000
2025-11-03,0.50092000,0.50093000,0.43714000,0.46244000,990561.89000000
2025-11-04,0.46285000,0.46928000,0.42000000,0.44194000,1627898.77000000
2025-11-05,0.44202000,0.46661000,0.42860000,0.45959000,1315380.68000000
2025-11-06,0.45907000,0.46048000,0.43484000,0.45184000,1285809.13000000
2025-11-07,0.45244000,0.50701000,0.44983000,0.50050000,1843435.34000000
2025-11-08,0.50007000,0.50678000,0.46777000,0.47247000,1099206.85000000
2025-11-09,0.47226000,0.48653000,0.45638000,0.47683000,916167.33000000
2025-11-10,0.47678000,0.49898000,0.47000000,0.48364000,793245.09000000
