date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,volume
2006-04-28,111.61,114.1,110.36,113.88,73.2054,133167100.0,0.1213,
2006-05-31,113.87,116.8,109.91,111.73,72.0033,197953900.0,0.2793,
2006-06-30,111.59,112.85,106.95,111.79,72.1495,191291600.0,0.1642,
2006-07-31,111.95,112.56,106.89,111.9,72.3195,156237900.0,0.1488,
2006-08-31,111.5,114.08,110.5,113.81,73.7131,127169300.0,0.2463,
2006-09-29,114.21,117.33,113.23,116.74,75.7459,139690400.0,0.2065,
2006-10-31,116.75,121.55,116.44,120.73,78.4307,165591800.0,0.1468,
2006-11-30,121.06,123.51,119.6,122.28,79.6434,150001300.0,0.3194,
2006-12-29,122.38,125.14,120.9,124.41,81.2459,130807200.0,0.3297,
2007-01-31,125.15,126.49,123.25,126.24,82.4933,175883200.0,0.0796,
2007-02-28,126.46,127.9,120.5,122.66,80.2983,163657100.0,0.2298,
2007-03-30,121.41,125.01,119.5,123.59,81.092,234418200.0,0.2767,
2007-04-30,123.77,131.98,123.11,130.67,85.8075,155113800.0,0.1057,
2007-05-31,130.84,136.66,130.31,136.29,89.7318,283098100.0,0.354,
2007-06-29,136.61,136.85,132.37,134.2,88.4653,343784800.0,0.1688,
2007-07-31,134.42,140.46,131.14,132.17,87.3065,349084000.0,0.2852,
2007-08-31,131.89,136.96,125.31,133.4,88.3114,536168100.0,0.2852,
2007-09-28,133.22,139.31,130.24,138.91,92.1169,216101300.0,0.2367,
2007-10-31,138.96,141.95,133.92,138.95,92.248,307589300.0,0.1531,
2007-11-30,137.86,137.9,127.25,134.16,89.3239,403533900.0,0.3777,
2007-12-31,133.7,137.9,131.06,132.55,88.4625,218010400.0,0.3205,
2008-01-31,132.47,132.67,115.8,126.0,84.189,473724100.0,0.1404,
2008-02-29,126.49,127.61,120.76,123.01,82.3475,279035500.0,0.2346,
2008-03-31,122.53,126.1,117.46,122.4,82.1364,348730900.0,0.2964,
2008-04-30,123.9,129.98,122.7,128.19,86.1265,293243700.0,0.1557,
2008-05-30,128.01,131.29,124.37,126.13,84.9567,233421300.0,0.3276,
2008-06-30,125.9,126.25,112.75,113.42,76.5695,380955700.0,0.269,
2008-07-31,112.28,116.88,108.32,113.7,76.8686,575616800.0,0.1648,
2008-08-29,114.12,118.73,112.13,115.59,78.3121,422061700.0,0.2474,
2008-09-30,116.96,118.01,104.01,108.04,73.4119,698679300.0,0.3343,
2008-10-31,107.57,108.79,78.94,93.4,63.5768,1007168700.0,0.1556,
2008-11-28,93.1399,96.5,74.5,88.3,60.3609,777198400.0,0.3426,
2008-12-31,86.3,90.39,81.31,87.52,60.0139,577288500.0,0.2656,
2009-01-30,87.95,90.9,79.05,80.08,55.0056,618810554.0,0.1407,
2009-02-27,79.14,83.29,70.37,70.76,48.8447,650290992.0,0.3654,
2009-03-31,69.65,79.3,64.78,75.84,52.4787,604301576.0,0.177,
2009-04-30,74.88,83.06,74.8,81.67,56.6059,393427524.0,0.1339,
2009-05-29,81.79,85.97,80.96,85.39,59.3602,319904643.0,0.246,
2009-06-30,86.28,89.02,82.57,84.66,59.0477,324925834.0,0.2826,
2009-07-31,84.98,92.48,80.96,91.67,64.0292,273694135.0,0.1262,
2009-08-31,92.47,96.82,91.4,95.05,66.6196,228945023.0,0.3287,
2009-09-30,94.6,99.16,92.63,97.09,68.171,218632791.0,0.1752,
2009-10-30,96.92,101.2,94.2,97.06,68.2141,261463346.0,0.0942,
2009-11-30,97.4,104.98,96.82,103.58,73.0347,211346194.0,0.338,
2009-12-31,104.28,105.64,101.75,104.07,73.6651,169211861.0,0.4005,
2010-01-29,104.84,107.23,100.41,100.55,71.1735,229300969.0,0.0,
2010-02-26,101.21,104.39,98.36,103.3,73.3064,205523723.0,0.265,
2010-03-31,103.67,109.53,103.58,108.61,77.223,171071072.0,0.2067,
2010-04-30,109.24,112.58,108.5,110.1,78.3473,203391389.0,0.0913,
2010-05-28,110.57,111.82,97.75,101.47,72.4765,412746266.0,0.3812,
2010-06-30,100.67,105.96,97.59,97.73,69.9322,282401890.0,0.1902,
2010-07-30,97.75,105.93,96.17,104.7,74.9883,218353508.0,0.0925,
2010-08-31,106.08,107.37,99.37,100.2,72.0351,167145700.0,0.3839,
2010-09-30,101.36,109.52,101.33,107.91,77.7176,124967644.0,0.191,
2010-10-29,108.55,112.55,107.07,111.31,80.2337,131842366.0,0.093,
2010-11-30,111.68,114.63,109.4,110.17,79.6676,133663674.0,0.3607,
2010-12-31,111.68,115.98,111.59,115.63,83.9869,116635010.0,0.511,
2011-01-31,116.41,119.94,115.56,118.6,86.2488,171071575.0,0.1439,
2011-02-28,119.16,123.64,119.08,122.15,89.0461,132236509.0,0.3,
2011-03-31,122.4,123.58,115.51,123.02,89.8517,192976969.0,0.226,
2011-04-29,123.59,128.12,120.65,128.04,93.6034,126782243.0,0.1123,
2011-05-31,128.6,128.63,122.8,125.5,92.0511,154652398.0,0.4145,
2011-06-30,125.13,125.18,118.49,123.83,90.9841,146236680.0,0.2081,
2011-07-29,124.09,127.37,120.64,121.13,89.0803,146807016.0,0.112,
2011-08-31,122.74,122.96,105.94,115.95,85.602,358727650.0,0.419,
2011-09-30,116.09,117.03,105.72,108.93,80.5661,236742859.0,0.2097,
2011-10-31,108.21,122.58,103.84,119.34,88.4041,210775380.0,0.185,
2011-11-30,116.9,121.75,112.14,120.19,89.2493,189640980.0,0.285,
2011-12-30,120.01,123.0,117.05,121.85,90.7541,135723140.0,0.3555,
2012-01-31,123.94,128.13,122.59,126.07,94.0203,129383526.0,0.1665,
2012-02-29,127.07,130.37,126.48,129.29,96.669,131365838.0,0.3315,
2012-03-30,129.6,132.61,127.18,131.8,98.7359,127358549.0,0.2549,
2012-04-30,131.56,132.68,126.92,131.8,98.8491,131387792.0,0.1489,
2012-05-31,131.85,133.14,122.82,123.7,93.0943,149948440.0,0.4255,
2012-06-29,122.13,128.71,120.19,128.45,96.8359,135575852.0,0.2198,
2012-07-31,128.62,130.99,124.77,129.69,97.9311,103800872.0,0.21,
2012-08-31,130.47,133.02,127.51,130.88,99.0903,98730213.0,0.3493,
2012-09-28,130.74,136.48,129.63,134.05,101.7011,81879521.0,0.2813,
2012-10-31,134.62,136.44,130.09,130.6,99.2231,112159525.0,0.1873,
2012-11-30,131.02,132.63,124.42,130.1,99.0973,137877207.0,0.3228,
2012-12-31,130.69,133.73,128.54,130.58,99.7744,120773958.0,0.4127,
2013-01-31,132.99,140.22,132.74,138.41,105.8699,107617226.0,0.1451,
2013-02-28,139.29,141.31,137.6,140.28,107.5752,109122282.0,0.3573,
2013-03-28,139.89,145.53,139.17,145.32,111.6727,116784214.0,0.3021,
2013-04-30,145.3,148.66,144.05,148.02,113.8583,164690807.0,0.1413,
2013-05-31,147.56,155.14,146.58,151.1,116.5527,136074853.0,0.4286,
2013-06-28,151.54,153.36,145.17,148.55,114.8214,168394597.0,0.3038,
2013-07-31,149.52,156.03,148.25,154.84,119.8422,109134960.0,0.2061,
2013-08-30,155.89,156.24,147.37,147.85,114.7236,125413261.0,0.3832,
2013-09-30,148.88,157.06,147.61,151.0,117.3985,134973117.0,0.3038,
2013-10-31,151.0,156.87,146.96,155.29,120.8676,175960396.0,0.1701,
2013-11-29,155.58,161.58,154.87,160.72,125.3278,114219944.0,0.2978,
2013-12-31,160.76,165.51,157.07,165.47,129.346,138270176.0,0.3946,
2014-01-31,164.79,165.29,155.85,156.75,122.6293,187428374.0,0.1333,
2014-02-28,156.57,163.77,153.12,163.02,127.8791,152043474.0,0.4346,
2014-03-31,161.59,164.89,160.38,164.24,129.0598,139695831.0,0.2823,
2014-04-30,164.67,166.06,159.88,165.45,130.1158,129318631.0,0.1325,
2014-05-30,165.3,167.29,163.04,166.93,131.6154,91210217.0,0.4208,
2014-06-30,167.25,169.58,166.58,167.89,132.6275,81087791.0,0.326,
2014-07-31,168.29,171.32,165.29,165.29,130.7132,92909274.0,0.1823,
2014-08-29,164.8,171.35,163.13,170.88,135.3742,91533442.0,0.2959,
2014-09-30,170.94,173.32,168.94,170.07,135.0549,110754352.0,0.4126,
2014-10-31,169.91,173.63,158.27,173.45,137.8591,224620953.0,0.1425,
2014-11-28,173.57,178.69,172.46,178.1,141.9121,82377491.0,0.4484,
2014-12-31,177.54,180.71,170.74,177.88,142.0427,153832543.0,0.3834,
2015-01-30,178.65,179.23,171.06,171.45,137.0244,158080278.0,0.1483,
2015-02-27,171.95,182.24,170.1,181.19,145.2005,89529166.0,0.4901,
2015-03-31,181.37,182.68,175.46,177.58,142.5523,117760872.0,0.3111,
2015-04-30,177.54,181.54,175.57,178.18,143.1291,108809075.0,0.1185,
2015-05-29,179.21,183.35,177.25,180.11,144.9988,84988216.0,0.4027,
2015-06-30,181.0,181.94,175.45,175.83,141.9313,111271731.0,0.4803,
2015-07-31,177.57,181.25,173.78,176.73,142.7937,95582096.0,0.172,
2015-08-31,176.82,176.87,150.565,165.18,133.9082,209148709.0,0.5504,
2015-09-30,161.4,169.44,159.18,162.53,132.0245,177476911.0,0.3283,
2015-10-30,163.01,177.83,159.93,176.49,143.4307,143995623.0,0.0796,
2015-11-30,176.87,179.6,172.15,177.23,144.4957,104538335.0,0.5732,
2015-12-31,177.92,179.04,170.89,173.99,142.1922,152886634.0,0.4075,
2016-01-29,171.05,171.74,154.38,164.37,134.4026,221570972.0,0.0859,
2016-02-29,163.39,167.95,155.26,164.96,135.3898,154988803.0,0.6126,
2016-03-31,166.01,177.65,165.71,176.64,145.2854,82239289.0,0.3749,
2016-04-29,175.71,181.42,174.68,177.59,146.1731,74121813.0,0.13,
2016-05-31,178.08,179.27,173.67,177.65,146.7342,59862877.0,0.6116,
2016-06-30,176.98,180.18,170.37,179.0,148.1468,86721581.0,0.3552,
2016-07-29,178.78,186.08,176.96,184.13,152.5036,65794492.0,0.1348,
2016-08-31,184.35,186.88,182.31,183.94,152.8857,57465801.0,0.6562,
2016-09-30,183.73,185.49,179.93,182.78,152.219,77988923.0,0.3543,
2016-10-31,182.31,183.85,179.43,181.17,151.0284,56215222.0,0.1804,
2016-11-30,181.52,192.25,178.64,191.4,160.0076,82978375.0,0.533,
2016-12-30,191.84,199.83,191.43,197.51,165.4758,87858526.0,0.4325,
2017-01-31,198.91,200.97,196.69,198.36,166.3499,86090020.0,0.193,
2017-02-28,199.13,208.37,198.02,207.98,174.8924,63889217.0,0.5605,
2017-03-31,209.92,211.59,203.81,206.34,173.8524,86710687.0,0.4082,
2017-04-28,206.52,210.43,203.64,209.08,176.3174,57319428.0,0.1823,
2017-05-31,209.49,210.92,205.86,210.0,177.6115,55344253.0,0.608,
2017-06-30,210.27,215.07,209.91,213.24,180.6846,57727096.0,0.3941,
2017-07-31,213.95,219.03,212.68,218.7,185.5136,38997387.0,0.2357,
2017-08-31,219.74,221.68,215.73,219.52,186.664,67798807.0,0.5288,
2017-09-29,220.13,223.97,217.18,223.82,190.712,43396699.0,0.4577,
2017-10-31,224.19,234.7,224.02,233.63,199.2269,50038809.0,0.1828,
2017-11-30,234.6,243.49,232.65,242.84,207.5792,61405037.0,0.5618,
2017-12-29,243.14,248.61,239.41,247.38,211.9414,73664339.0,0.5606,
2018-01-31,248.34,265.93,247.23,261.44,224.1107,102220886.0,0.1437,
2018-02-28,259.95,262.9,233.76,250.2,215.0245,183041900.0,0.6448,
2018-03-29,250.21,254.72,234.85,241.4,207.8398,121401338.0,0.454,
2018-04-30,240.33,248.48,233.2,241.54,208.0726,107014596.0,0.132,
2018-05-31,240.69,250.67,235.12,244.18,210.9406,82718189.0,0.6973,
2018-06-29,246.14,254.16,239.83,242.73,210.0028,99817223.0,0.3764,
2018-07-31,240.92,255.68,240.62,254.17,220.1795,75858917.0,0.3179,
2018-08-31,253.9,261.77,249.86,259.85,225.5724,79670255.0,0.5385,
2018-09-28,259.22,267.61,257.82,264.4,229.9912,63103505.0,0.5458,
2018-10-31,266.1,269.28,241.05,251.19,218.6337,163950233.0,0.1552,
2018-11-30,252.15,262.97,242.71,255.51,222.9198,93217462.0,0.6009,
2018-12-31,260.17,260.3,216.97,233.2,204.0146,136713378.0,0.6159,
2019-01-31,229.27,251.0,226.36,250.12,218.9711,93252278.0,0.1739,
2019-02-28,250.67,262.36,249.13,259.28,227.6029,60167022.0,0.698,
2019-03-29,261.15,261.68,252.46,259.13,227.9507,88452597.0,0.5446,
2019-04-30,261.23,266.86,260.58,265.79,233.9485,62241187.0,0.158,
