period,mean,p10,p50,p90
60,1.3974508119932219,1.0641954306589578,1.385952253369511,1.729847706591981
61,1.404008174079376,1.074674887590578,1.3920081453937774,1.742955140745018
62,1.4111528905784236,1.0765458612604448,1.399979147152586,1.7532036633381147
63,1.417671687643095,1.0787184950486066,1.405174618149746,1.764081423723365
64,1.4249704062870752,1.083462198099339,1.4138818585714348,1.7729793666299583
65,1.432994860118385,1.0870137259937729,1.4177549143087451,1.787958820627877
66,1.4407808472871453,1.0913189036042,1.4248190442300033,1.7961857159953043
67,1.448742048977889,1.0958371523036157,1.4339420033224335,1.8116280664198405
68,1.4568085489168086,1.0956149989456538,1.4403869359184511,1.8272492117977022
69,1.4661741022579893,1.1040880511996045,1.4467793237629012,1.8441122904444394
70,1.4748654321249755,1.104192499681977,1.4515038677316099,1.851544188345559
71,1.4838627262946,1.1139353702810446,1.4586927898095325,1.8688246563759643
72,1.4913886451785239,1.1154937984259696,1.4659787601739644,1.8834168040711368
73,1.4993881171164554,1.1198714709394917,1.4781621707899963,1.8992395550812853
74,1.506258862406758,1.1285239449177407,1.483340337800624,1.9074750480873446
75,1.5142770236684,1.1292489360426243,1.4898478956080767,1.9231760337644574
76,1.521968599040055,1.130791384365875,1.4948556829821928,1.9334221124415862
77,1.530271095637514,1.1367218064996585,1.504953638885479,1.94076844376401
78,1.5387195246844965,1.1414117408786961,1.5110560811416143,1.9625067245243084
79,1.5482075630542798,1.1422541979152296,1.5184147991795873,1.9785951363976675
80,1.5558150886525974,1.1481506279263531,1.5285893870973357,2.0001138801533695
81,1.5652719541735938,1.1533022893828004,1.5354112084965812,2.012907265319086
82,1.5733239833855779,1.1591094258458206,1.5458624549867221,2.0258382623775693
83,1.5829176235731208,1.1654939990601987,1.5536018406742937,2.045656253225967
84,1.5898667549392673,1.168423565804039,1.5595717609895425,2.0558006032897906
85,1.5979153044895822,1.1729532004420802,1.5662490919900456,2.069657973143146
86,1.6060664409260348,1.181540824052889,1.5789911817370053,2.0724634476693127
87,1.6136707202709124,1.1765673679723367,1.5852398360380937,2.082737707370616
88,1.6219045004289747,1.1819695582263372,1.5922186237802305,2.1010187124371402
89,1.6308834061685353,1.1880836522646125,1.601862827482556,2.1153618690010547
90,1.6405460807120384,1.1904351893738385,1.6077425794378017,2.1320242945998875
91,1.651288848646374,1.1951175107780097,1.6177972213743892,2.149916828476961
92,1.6611070843974771,1.2037050795366804,1.6276477869768602,2.1650061469540725
93,1.671461887266827,1.2041314152163098,1.6373952594953987,2.1844799398849037
94,1.681129001897968,1.2071092516458752,1.645380387981415,2.1971483542907824
95,1.6908733140750465,1.2160049663777894,1.6530338159236375,2.2169646284155418
96,1.6990572199188183,1.2206085755396758,1.658711612644603,2.223174597070088
97,1.7069774744990263,1.225198666476649,1.6669422026603744,2.243172162869218
98,1.7143266916166264,1.2275298945892958,1.6736138274458479,2.2543705962615834
99,1.7232379651974152,1.2314320709857887,1.6810436036849286,2.271609063752686
100,1.730774305947557,1.2314706335397796,1.6866090932610973,2.2859856066326905
101,1.7402965802064565,1.2402426272518599,1.6997501756821367,2.291824532549955
102,1.7502389612608025,1.2425686821432302,1.7060573954428093,2.308904281604767
103,1.7615538924600078,1.252192264999052,1.7151196722795072,2.329149403688978
104,1.7710172130631467,1.2582358251091297,1.723639861247372,2.3455569870010033
105,1.7820553211690735,1.2554210270364807,1.7347192375077818,2.366378382905875
106,1.791687931875302,1.2608267585298343,1.746158512658373,2.374664426387201
107,1.8034745592731294,1.270514597399546,1.7571967812809914,2.398505221285112
108,1.8114685765840324,1.2668598084311915,1.7663726698268762,2.400535058085292
109,1.8205146437366555,1.269485994994674,1.776409299537695,2.4177538750545784
110,1.8293458419101414,1.2774743198099012,1.779914348093401,2.4372119236455734
111,1.8402385905929313,1.279472703799338,1.7906081470231694,2.458715905850974
112,1.8489988097198795,1.289669692114056,1.8014630458313117,2.4670878460679346
113,1.859713380927575,1.292632400818987,1.813193075803092,2.486914045973342
114,1.869999120071624,1.3017937803687525,1.822694914703813,2.5081669820119057
115,1.8810147382410465,1.305935700048538,1.832182465819342,2.5302117968947875
116,1.8935021748336163,1.3008083514760789,1.8410275686124278,2.5497965976356607
117,1.9042809055823113,1.3215022950524022,1.8479470102199913,2.5658172648877033
118,1.9158438403325708,1.3157106562785437,1.8663006578167924,2.5945166805513287
119,1.9277944727072411,1.3266601363275523,1.8771179016988342,2.600514236749599
120,1.9377910629907888,1.3306194872389312,1.8818903107987133,2.627190545383583
121,1.9471157974417217,1.337769432666361,1.888736406325507,2.6399514549711136
122,1.9575134403183965,1.3447024563528236,1.899685408927449,2.640626599156989
123,1.9675239661866863,1.3441381751834696,1.9132997494963817,2.6584465846495755
124,1.977067541641998,1.3539099536765358,1.9191957816024963,2.678590272214408
125,1.9878761647726482,1.3502521470429507,1.9284841154580878,2.6979768612429242
126,1.9984350190825815,1.3594036764259074,1.9405917642909187,2.7130765500504057
127,2.0104673998045484,1.3654580532395262,1.944600435583401,2.735263999750117
128,2.0231663462428457,1.3654995525197426,1.9601793344037322,2.7514453579353675
129,2.0343831206196867,1.3778593478110557,1.9698820497838945,2.7715302492869345
130,2.0468645610756417,1.3824967980130227,1.9781482569238729,2.7910294768201624
131,2.059267136784114,1.3914728330280635,1.9963972809030934,2.8099479001039245
132,2.0687002898344793,1.388533151092848,2.003964925612231,2.822876852961067
133,2.078594852301874,1.3958684651052713,2.009283407639159,2.846965036426424
134,2.089575206590907,1.4009220702271188,2.0230824918154022,2.8600023096625264
